46 53221
8 15 -2.329869051942514
8 21 -2.778819271990417
8 27 -4.039950490156301
8 29 -3.782121380854202
8 13 -5.486869473092628
8 18 -5.774551545544409
8 12 -5.263725921778418
8 10 -4.165113633110308
8 14 -6.873163834212518
8 22 -5.774551545544409
8 25 -5.486869473092628
8 34 -6.873163834212518
8 23 -6.873163834212518
8 4 -6.873163834212518
9 10 -5.090472852522996
9 0 -1.702698491192981
9 20 -2.787887759528950
9 14 -1.643664959608788
9 15 -3.906702755514579
9 19 -2.055519865815724
9 12 -2.313726120134551
9 5 -3.467789713338875
9 11 -3.098042687832790
9 22 -4.060853435341838
9 6 -4.802790780071216
9 18 -3.564416549027947
9 4 -3.344175757371699
9 7 -2.456188801660395
9 1 -4.272162529009045
9 13 -4.620469223277261
9 2 -6.699910764957097
9 3 -3.655388327233673
9 28 -6.412228692505316
9 26 -7.105375873065261
9 8 -6.412228692505316
9 9 -7.798523053625206
9 29 -7.798523053625206
9 16 -6.699910764957097
9 25 -7.798523053625206
9 21 -6.699910764957097
10 11 -3.420455198266570
10 21 -1.628695729038515
10 29 -3.420455198266570
10 15 -1.700669228663604
10 5 -2.167692229771202
10 22 -5.212214667494625
10 1 -1.439453729399987
10 0 -3.266304518439312
10 28 -2.191789781350263
10 12 -5.212214667494625
10 4 -3.959451698999257
10 25 -5.905361848054571
10 19 -4.806749559386461
10 45 -5.905361848054571
10 9 -5.212214667494625
10 14 -5.212214667494625
11 12 -3.327909585892323
11 4 -5.630494678886369
11 18 -2.883223764630877
11 15 -2.092438114507016
11 1 -1.228665416916308
11 10 -5.853638230200579
11 5 -2.209494669928034
11 20 -2.718144014271429
11 14 -4.104438375391320
11 21 -3.389784989610411
11 0 -2.312678906163264
11 8 -4.531882390218259
11 9 -3.269640677768348
11 25 -4.467343869080688
11 19 -3.576370945190823
11 28 -4.021056766452269
11 22 -3.656413652864359
11 29 -4.021056766452269
11 13 -7.239932591320470
11 6 -6.141320302652360
11 16 -5.853638230200579
11 42 -7.239932591320470
11 2 -6.546785410760524
11 23 -7.239932591320470
11 27 -7.239932591320470
11 34 -6.546785410760524
12 13 -4.322532838750010
12 5 -2.002853312396664
12 29 -4.745389689570043
12 12 -1.881686178756040
12 0 -2.200890942579798
12 15 -3.777805663308338
12 21 -3.664476978001335
12 28 -3.270988060939886
12 9 -1.976095863227115
12 1 -1.765572871321952
12 10 -3.719536755184362
12 20 -3.952159050453115
12 7 -5.387243575742438
12 22 -4.511774838388538
12 19 -3.515441398840847
12 25 -4.026267022606837
12 27 -5.050771339121225
12 4 -3.485136049345518
12 11 -4.393991802732155
12 6 -5.743918519681171
12 34 -5.204922018948483
12 2 -5.387243575742438
12 16 -4.981778467634274
12 14 -5.492604091400264
12 18 -6.591216380068374
12 26 -7.689828668736483
12 8 -6.996681488176539
12 3 -7.689828668736483
12 42 -7.689828668736483
13 14 -4.243721963296701
13 9 -2.360990715862920
13 13 -2.799608031287984
13 1 -2.129189101805595
13 5 -1.646337330082011
13 11 -5.678806488586024
13 28 -2.881525153755871
13 25 -4.152750185090975
13 0 -1.601269044680304
13 20 -4.343805421853684
13 4 -4.803337751232124
13 27 -2.799608031287984
13 7 -7.288244401020124
13 15 -2.845593144529808
13 21 -4.397872643123960
13 19 -4.069368576151923
13 2 -3.854257196534978
13 6 -7.288244401020124
13 34 -4.723295043558587
13 29 -3.956039890844921
13 18 -4.649187071404866
13 12 -5.091019823683905
13 16 -5.208802859340288
13 17 -7.288244401020124
14 15 -4.216830327405391
14 0 -1.028226286162292
14 7 -2.440338330308124
14 14 -2.718831976705498
14 9 -2.961473323732976
14 4 -2.468421299050949
14 28 -4.146626068732142
14 5 -3.233730925859125
14 1 -2.235202095747998
14 19 -2.803628513365575
14 25 -4.462963396944299
14 11 -4.486493894354493
14 20 -3.193725591245426
14 12 -4.966066974616379
14 6 -5.133121059279546
14 22 -5.826268239839490
14 27 -4.856867682651387
14 21 -4.081028786246328
14 10 -6.278253363582547
14 13 -6.614725600203760
14 8 -6.614725600203760
14 2 -6.144721970958026
14 34 -6.432404043409806
14 18 -6.614725600203760
14 29 -6.837869151517970
14 3 -8.224163512637862
15 16 -3.387062870727251
15 13 -1.680721152653547
15 0 -3.558913127653910
15 18 -1.655562593017393
15 7 -3.741234684447865
15 6 -5.484203989506487
15 22 -4.294619922632651
15 3 -2.054835730877636
15 14 -2.000768509607360
15 12 -2.188367123502158
15 20 -2.814993621720541
15 19 -3.792527978835415
15 10 -5.350672596881965
15 2 -4.211238313693600
15 15 -6.331501849893691
15 11 -5.127529045567755
15 21 -6.043819777441910
15 1 -6.043819777441910
15 4 -4.172017600540319
15 8 -4.791056808946542
15 34 -7.430114138561801
15 5 -7.430114138561801
15 28 -6.736966958001855
15 23 -6.736966958001855
15 26 -7.430114138561801
15 9 -7.430114138561801
15 25 -7.430114138561801
16 17 -6.645090969505644
16 27 -1.588845164157336
16 1 -2.029970452664385
16 16 -2.167754155027438
16 5 -1.641144663560185
16 18 -2.534217105332333
16 0 -3.034173056861420
16 19 -4.447866392169424
16 15 -2.341025876301474
16 20 -4.160184319717644
16 12 -3.179355066705917
16 28 -4.699180820450331
16 9 -4.160184319717644
16 14 -4.447866392169424
16 21 -4.565649427825808
16 7 -5.035653057071544
16 8 -5.951943788945699
16 34 -5.258796608385754
16 6 -6.645090969505644
17 18 -2.484906649788000
17 21 -1.791759469228055
17 22 -0.538996500732687
17 1 -1.791759469228055
18 19 -3.183347648957661
18 1 -2.110543244245424
18 0 -0.976964853331728
18 9 -2.630121659121009
18 5 -2.458849938513640
18 14 -2.883007179633956
18 22 -6.853299093186078
18 4 -3.685716562705428
18 11 -4.713232929689807
18 21 -4.179150443759550
